Symbol;Company Name;sector;ISIN;ICB_SectorL4;ICB5_SectorL4
ALB;Albemarle Corp;XLB;US0126531013;1357;55201000
AMCR;Amcor plc;XLB;JE00BJ1F3079;2723;50203030
APD;Air Products & Chemicals Inc;XLB;US0091581068;1353;55201020
AVY;Avery Dennison Corp;XLB;US0536111091;2727;55101000
BALL;Ball Corp;XLB;#N/D;3573;#N/D
CE;Celanese Corp A;XLB;US1508701034;1353;55201000
CF;CF Industries Holdings;XLB;US1252691001;1357;55201015
CTVA;Corteva Inc.;XLB;US22052L1044;3573;45102010
DD;DuPont de Nemours Inc.;XLB;US26614N1028;2727;50203000
DOW;Dow Inc;XLB;US2605571031;1353;55201000
ECL;Ecolab Inc;XLB;US2788651006;1357;55201000
EMN;Eastman Chemical Co;XLB;US2774321002;1353;55201000
FCX;Freeport-McMoRan Inc;XLB;US35671D8570;1755;55102040
FMC;FMC Corp;XLB;US3024913036;1357;55201015
IFF;Intl Flavors & Fragrances;XLB;US4595061015;1357;55201020
IP;Intl Paper Co;XLB;US4601461035;1737;55101015
LIN;Linde plc;XLB;#N/D;3573;#N/D
LYB;LyondellBasell Industries N.V.;XLB;NL0009434992;1353;55201020
MLM;Martin Marietta Materials;XLB;US5732841060;2353;50101035
MOS;Mosaic Co;XLB;US61945C1036;1357;55201015
NEM;Newmont Corp;XLB;US6516391066;1777;55103025
NUE;Nucor Corp;XLB;US6703461052;1757;55102010
PKG;Packaging Corp of America;XLB;US6951561090;2723;50203030
PPG;PPG Industries Inc;XLB;US6935061076;1357;50203010
SHW;Sherwin-Williams Co;XLB;US8243481061;2353;50203010
STLD;Steel Dynamics Inc;XLB;US8581191009;1757;55102010
SW;Smurfit WestRock plc;XLB;#N/D;3573;#N/D
VMC;Vulcan Materials Co;XLB;US9291601097;2353;50101035
CHTR;Charter Communications Inc A;XLC;US16119P1084;5553;15102010
CMCSA;Comcast Corp A;XLC;US20030N1019;5553;15102010
DIS;Walt Disney Co;XLC;US2546871060;5553;40301010
EA;Electronic Arts;XLC;US2855121099;3747;40203040
FOX;Fox Corp B;XLC;US35137L2043;5553;40301010
FOXA;Fox Corp A;XLC;US35137L1052;5553;40301010
GOOG;Alphabet Inc C;XLC;US02079K1079;9535;10101020
GOOGL;Alphabet Inc A;XLC;US02079K3059;9535;10101020
IPG;Interpublic Group Cos;XLC;US4606901001;5555;40301020
LYV;Live Nation Entertainment Inc.;XLC;US5380341090;5755;40301010
META;Meta Platforms, Inc. Class A;XLC;#N/D;9535;#N/D
MTCH;Match Group, Inc.;XLC;US57667L1070;9535;10101020
NFLX;NetFlix Inc;XLC;US64110L1061;5553;40301010
NWS;News Corp B;XLC;US65249B2088;5557;40301030
NWSA;News Corp A;XLC;US65249B1098;5557;40301030
OMC;Omnicom Group;XLC;US6819191064;5555;40301020
PARA;Paramount Global Class B;XLC;#N/D;9535;#N/D
T;AT&T Inc;XLC;US00206R1023;6535;15102015
TMUS;T-Mobile US Inc;XLC;US8725901040;6575;15102015
TTWO;Take-Two Interactive Software;XLC;US8740541094;3747;40203040
VZ;Verizon Communications Inc;XLC;US92343V1044;6535;15102015
WBD;Warner Bros Discovery Inc.;XLC;#N/D;9535;#N/D
APA;APA Corporation;XLE;US0374111054;0533;60101010
BKR;Baker Hughes Company;XLE;US05722G1004;0573;60101030
COP;ConocoPhillips;XLE;US20825C1045;0533;60101010
CTRA;Coterra Energy Inc;XLE;#N/D;0577;#N/D
CVX;Chevron Corp;XLE;US1667641005;0537;60101000
DVN;Devon Energy Corp;XLE;US25179M1036;0533;60101010
EOG;EOG Resources;XLE;US26875P1012;0533;60101010
EQT;EQT Corporation;XLE;US26884L1098;0533;60101010
FANG;Diamondback Energy Inc;XLE;US25278X1090;0533;60101010
HAL;Halliburton Co;XLE;US4062161017;0573;60101030
HES;Hess Corp;XLE;US42809H1077;0533;60101015
KMI;Kinder Morgan Inc;XLE;US49456B1017;0577;60101035
MPC;Marathon Petroleum Corp.;XLE;US56585A1025;0537;60101020
MRO;Marathon Oil Corp;XLE;US5658491064;0533;60101010
OKE;ONEOK Inc;XLE;US6826801036;0577;60101035
OXY;Occidental Petroleum;XLE;US6745991058;0533;60101010
PSX;Phillips 66;XLE;US7185461040;0537;60101020
SLB;Schlumberger Ltd;XLE;AN8068571086;0573;60101030
TRGP;Targa Resources Corp;XLE;US87612G1013;0577;60101035
VLO;Valero Energy Corp;XLE;US91913Y1001;0533;60101020
WMB;The Williams Companies Inc;XLE;US9694571004;0577;60101035
XOM;Exxon Mobil Corp;XLE;US30231G1022;0537;60101000
ACGL;Arch Capital Group Ltd;XLF;BMG0450A1053;8536;30302025
AFL;AFLAC Inc;XLF;US0010551028;8575;30301010
AIG;American Intl Group Inc;XLF;US0268747849;8532;30302010
AIZ;Assurant Inc;XLF;US04621X1081;8536;30302025
AJG;Arthur J. Gallagher & Co;XLF;US3635761097;8536;30302025
ALL;Allstate Corp;XLF;US0200021014;8536;30302025
AMP;Ameriprise Financial Inc;XLF;US03076C1062;8775;30202000
AON;Aon plc;XLF;IE00BLP1HW54;8534;30302015
AXP;American Express Co;XLF;US0258161092;8773;50205015
BAC;Bank of America Corp;XLF;US0605051046;8355;30101010
BEN;Franklin Resources Inc;XLF;US3546131018;8771;30202010
BK;The Bank of New York Mellon Corp;XLF;US0640581007;8777;30202015
BLK;BlackRock Inc;XLF;US09247X1019;8771;30202010
BRK-B;Berkshire Hathaway B;XLF;#N/D;8777;#N/D
BRO;Brown & Brown Inc;XLF;US1152361010;8536;30302025
BX;Blackstone Inc.;XLF;#N/D;8777;#N/D
C;Citigroup Inc;XLF;US1729674242;8355;30101010
CB;Chubb Limited;XLF;CH0044328745;8536;30302025
CBOE;Cboe Global Markets, Inc;XLF;#N/D;8777;#N/D
CFG;Citizens Financial Group Inc;XLF;US1746101054;8355;30101010
CINF;Cincinnati Financial Corp;XLF;US1720621010;8536;30302025
CME;CME Group Inc A;XLF;US12572Q1058;8777;30202015
COF;Capital One Financial;XLF;US14040H1059;8773;50205015
CPAY;Corpay, Inc.;XLF;#N/D;8777;#N/D
DFS;Discover Financial Services;XLF;US2547091080;8355;30101010
EG;Everest Group Ltd;XLF;#N/D;8777;#N/D
ERIE;Erie Indemnity Co A;XLF;US29530P1021;8536;30302025
FDS;FactSet Research System Inc;XLF;US3030751057;5557;30201030
FI;Fiserv Inc;XLF;NL0010556684;0573;60101030
FIS;Fidelity National Information;XLF;US31620M1062;2795;50205015
FITB;Fifth Third Bancorp (OH);XLF;US3167731005;8355;30101010
GL;Globe Life Inc.;XLF;US37959E1029;8575;30301010
GPN;Global Payments Inc;XLF;US37940X1028;2795;50205015
GS;Goldman Sachs Group Inc;XLF;US38141G1040;8777;30202015
HBAN;Huntington Bancshares (OH);XLF;US4461501045;8355;30101010
HIG;Hartford Finl Services Group;XLF;US4165151048;8532;30302010
ICE;Intercontinental Exchange Inc;XLF;US45866F1049;8777;30202015
IVZ;Invesco Ltd;XLF;BMG491BT1088;8771;30202010
JKHY;Jack Henry & Associates Inc.;XLF;US4262811015;2795;50205015
JPM;JP Morgan Chase & Co;XLF;US46625H1005;8775;30202000
KEY;KeyCorp;XLF;US4932671088;8355;30101010
KKR;KKR & Co Inc;XLF;#N/D;8777;#N/D
L;Loews Corp;XLF;US5404241086;8536;30302025
MA;Mastercard Inc A;XLF;US57636Q1040;8773;50205015
MCO;Moody's Corp;XLF;US6153691059;8775;30202015
MET;Metlife Inc;XLF;US59156R1086;8575;30301010
MKTX;MarketAxess Holdings;XLF;US57060D1081;8777;30202015
MMC;Marsh & McLennan Companies;XLF;US5717481023;8534;30302015
MS;Morgan Stanley;XLF;US6174464486;8777;30202015
MSCI;MSCI Inc;XLF;US55354G1004;8775;30201030
MTB;M&T Bank Corp;XLF;US55261F1049;8355;30101010
NDAQ;Nasdaq Inc;XLF;US6311031081;8777;30202015
NTRS;Northern Trust Corp (IL);XLF;US6658591044;8771;30202010
PFG;Principal Financial Group;XLF;US74251V1026;8575;30301010
PGR;Progressive Corp;XLF;US7433151039;8536;30302025
PNC;PNC Finl Services Group;XLF;US6934751057;8355;30101010
PRU;Prudential Financial Inc;XLF;US7443201022;8575;30301010
PYPL;PayPal Holdings Inc.;XLF;US70450Y1038;2795;50205015
RF;Regions Financial Corp;XLF;US7591EP1005;8355;30101010
RJF;Raymond James Financial Inc;XLF;US7547301090;8777;30202015
SCHW;Charles Schwab Corp;XLF;US8085131055;8777;30202015
SPGI;S&P Global Inc;XLF;US78409V1044;8775;30201030
STT;State Street Corp;XLF;US8574771031;8771;30202010
SYF;Synchrony Financial;XLF;US87165B1035;8773;50205015
TFC;Truist Financial Corp;XLF;US89832Q1094;8355;30101010
TROW;T Rowe Price Group Inc;XLF;US74144T1088;8771;30202010
TRV;Travelers Cos Inc;XLF;US89417E1091;8536;30302025
USB;US Bancorp;XLF;US9029733048;8355;30101010
V;Visa Inc A;XLF;US92826C8394;8773;50205015
WFC;Wells Fargo & Co;XLF;US9497461015;8355;30101010
WRB;WR Berkley Corp;XLF;US0844231029;8536;30302025
WTW;Willis Towers Watson PLC;XLF;#N/D;8777;#N/D
ADP;Automatic Data Processing;XLI;US0530151036;2795;50205020
ALLE;Allegion plc;XLI;IE00BFRT3W74;2733;50202020
AME;AMETEK Inc;XLI;US0311001004;2737;50202025
AMTM;Amentum Holdings Inc.;XLI;#N/D;9578;#N/D
AOS;A.O. Smith Corp;XLI;US8318652091;2353;50101025
AXON;Axon Enterprise Inc;XLI;#N/D;9578;#N/D
BA;Boeing Co;XLI;US0970231058;2713;50201010
BLDR;Builders FirstSource;XLI;US12008R1077;2353;50101035
BR;Broadridge Financial Solutions Inc.;XLI;US11133T1034;8777;30202015
CARR;Carrier Global Corp.;XLI;US14448C1045;2353;50101025
CAT;Caterpillar Inc;XLI;US1491231015;2753;50204020
CHRW;CH Robinson Worldwide Inc;XLI;US12541W2098;2779;50206010
CMI;Cummins Inc;XLI;US2310211063;2753;50204030
CPRT;Copart Inc;XLI;US2172041061;5377;40201070
CSX;CSX Corporation;XLI;US1264081035;2775;50206020
CTAS;Cintas Corp;XLI;US1729081059;2791;50205010
DAL;Delta Air Lines;XLI;US2473617023;5751;40501010
DAY;Dayforce, Inc.;XLI;#N/D;9578;#N/D
DE;Deere & Co;XLI;US2441991054;2753;50204010
DOV;Dover Corp;XLI;US2600031080;2757;50203000
EFX;Equifax Inc;XLI;US2944291051;2791;50205020
EMR;Emerson Electric Co;XLI;US2910111044;2737;50203000
ETN;Eaton Corp plc;XLI;IE00B8KQN827;2727;50203000
EXPD;Expeditors Intl of WA Inc;XLI;US3021301094;2777;50206060
FAST;Fastenal Co;XLI;US3119001044;1757;55102015
